"學校名稱","等級別","總計加總"
"世新大學","學士",9823
"世新大學","博士",81
"世新大學","碩士",1016
"中信金融管理學院","學士",799
"中信金融管理學院","碩士",158
"中原大學","學士",13732
"中原大學","博士",332
"中原大學","碩士",2632
"中國文化大學","學士",17114
"中國文化大學","二技",175
"中國文化大學","博士",494
"中國文化大學","碩士",2083
"中國科技大學","二專",198
"中國科技大學","四技",5244
"中國科技大學","二技",551
"中國科技大學","碩士",218
"中國醫藥大學","學士",6356
"中國醫藥大學","博士",416
"中國醫藥大學","碩士",577
"中山醫學大學","學士",6103
"中山醫學大學","二技",116
"中山醫學大學","博士",165
"中山醫學大學","碩士",701
"中臺科技大學","二專",3
"中臺科技大學","四技",4418
"中臺科技大學","二技",1504
"中臺科技大學","博士",9
"中臺科技大學","碩士",406
"中華大學","學士",3232
"中華大學","二技",195
"中華大學","博士",58
"中華大學","碩士",413
"中華科技大學","二專",97
"中華科技大學","四技",2315
"中華科技大學","二技",510
"中華科技大學","碩士",283
"中華醫事科技大學","二專",63
"中華醫事科技大學","五專",3200
"中華醫事科技大學","四技",2451
"中華醫事科技大學","二技",1504
"中華醫事科技大學","碩士",128
"亞東科技大學","四技",3473
"亞東科技大學","二技",325
"亞東科技大學","碩士",58
"亞洲大學","學士",9512
"亞洲大學","博士",224
"亞洲大學","碩士",1122
"仁德醫護管理專科學校","二專",377
"仁德醫護管理專科學校","五專",5465
"佛光大學","學士",2137
"佛光大學","博士",71
"佛光大學","碩士",556
"修平科技大學","二專",2
"修平科技大學","四技",3032
"修平科技大學","二技",650
"修平科技大學","碩士",148
"健行科技大學","四技",8490
"健行科技大學","二技",529
"健行科技大學","碩士",382
"僑光科技大學","四技",8194
"僑光科技大學","碩士",120
"元培醫事科技大學","四技",3330
"元培醫事科技大學","二技",419
"元培醫事科技大學","博士",2
"元培醫事科技大學","碩士",254
"元智大學","學士",7180
"元智大學","博士",238
"元智大學","碩士",1345
"南亞技術學院","五專",77
"南亞技術學院","四技",1076
"南亞技術學院","二技",845
"南亞技術學院","碩士",1
"南臺科技大學","五專",475
"南臺科技大學","四技",13129
"南臺科技大學","二技",218
"南臺科技大學","博士",81
"南臺科技大學","碩士",1014
"南華大學","學士",3942
"南華大學","博士",47
"南華大學","碩士",905
"南開科技大學","二專",52
"南開科技大學","五專",266
"南開科技大學","四技",1889
"南開科技大學","二技",240
"南開科技大學","碩士",119
"台北海洋科技大學","二專",160
"台北海洋科技大學","五專",558
"台北海洋科技大學","四技",2193
"台北海洋科技大學","二技",738
"台北海洋科技大學","碩士",126
"台南應用科技大學","五專",851
"台南應用科技大學","四技",8032
"台南應用科技大學","二技",555
"台南應用科技大學","碩士",222
"吳鳳科技大學","二專",176
"吳鳳科技大學","四技",2772
"吳鳳科技大學","二技",738
"吳鳳科技大學","碩士",96
"嘉南藥理大學","五專",281
"嘉南藥理大學","四技",8195
"嘉南藥理大學","二技",635
"嘉南藥理大學","碩士",285
"國立中央大學","學士",6274
"國立中央大學","博士",937
"國立中央大學","碩士",5286
"國立中山大學","學士",5040
"國立中山大學","博士",839
"國立中山大學","碩士",4467
"國立中正大學","學士",6653
"國立中正大學","博士",537
"國立中正大學","碩士",4350
"國立中興大學","學士",9006
"國立中興大學","博士",1000
"國立中興大學","碩士",5591
"國立勤益科技大學","二專",241
"國立勤益科技大學","四技",10733
"國立勤益科技大學","二技",550
"國立勤益科技大學","博士",63
"國立勤益科技大學","碩士",1016
"國立嘉義大學","學士",9218
"國立嘉義大學","博士",184
"國立嘉義大學","碩士",2180
"國立宜蘭大學","學士",4859
"國立宜蘭大學","博士",16
"國立宜蘭大學","碩士",717
"國立屏東大學","學士",7196
"國立屏東大學","博士",46
"國立屏東大學","碩士",1617
"國立屏東科技大學","四技",8776
"國立屏東科技大學","博士",245
"國立屏東科技大學","碩士",1373
"國立彰化師範大學","學士",5044
"國立彰化師範大學","博士",475
"國立彰化師範大學","碩士",3092
"國立成功大學","學士",12159
"國立成功大學","博士",1888
"國立成功大學","碩士",9035
"國立政治大學","學士",9763
"國立政治大學","博士",921
"國立政治大學","碩士",6134
"國立暨南國際大學","學士",4802
"國立暨南國際大學","博士",346
"國立暨南國際大學","碩士",1408
"國立東華大學","學士",7975
"國立東華大學","博士",412
"國立東華大學","碩士",1963
"國立清華大學","學士",9274
"國立清華大學","博士",1636
"國立清華大學","碩士",7280
"國立清華大學","+",1
"國立澎湖科技大學","五專",106
"國立澎湖科技大學","四技",2485
"國立澎湖科技大學","碩士",111
"國立聯合大學","學士",7199
"國立聯合大學","博士",21
"國立聯合大學","碩士",491
"國立臺中教育大學","學士",3283
"國立臺中教育大學","博士",108
"國立臺中教育大學","碩士",1699
"國立臺中科技大學","二專",805
"國立臺中科技大學","五專",3704
"國立臺中科技大學","四技",7970
"國立臺中科技大學","二技",2804
"國立臺中科技大學","博士",5
"國立臺中科技大學","碩士",701
"國立臺北商業大學","二專",138
"國立臺北商業大學","五專",1745
"國立臺北商業大學","四技",3296
"國立臺北商業大學","二技",1355
"國立臺北商業大學","博士",10
"國立臺北商業大學","碩士",455
"國立臺北大學","學士",7874
"國立臺北大學","博士",195
"國立臺北大學","碩士",2136
"國立臺北教育大學","學士",3352
"國立臺北教育大學","博士",138
"國立臺北教育大學","碩士",2605
"國立臺北科技大學","五專",153
"國立臺北科技大學","四技",7568
"國立臺北科技大學","二技",22
"國立臺北科技大學","博士",754
"國立臺北科技大學","碩士",5162
"國立臺北藝術大學","七年",83
"國立臺北藝術大學","學士",1797
"國立臺北藝術大學","博士",118
"國立臺北藝術大學","碩士",1215
"國立臺北護理健康大學","四技",2785
"國立臺北護理健康大學","二技",1651
"國立臺北護理健康大學","博士",79
"國立臺北護理健康大學","碩士",760
"國立臺南大學","學士",4151
"國立臺南大學","博士",141
"國立臺南大學","碩士",1669
"國立臺南藝術大學","七年",162
"國立臺南藝術大學","學士",802
"國立臺南藝術大學","博士",67
"國立臺南藝術大學","碩士",607
"國立臺南護理專科學校","二專",105
"國立臺南護理專科學校","五專",1878
"國立臺東大學","學士",3920
"國立臺東大學","二技",116
"國立臺東大學","博士",50
"國立臺東大學","碩士",1035
"國立臺東專科學校","二專",499
"國立臺東專科學校","五專",187
"國立臺灣大學","學士",17323
"國立臺灣大學","博士",3654
"國立臺灣大學","碩士",12905
"國立臺灣師範大學","學士",8503
"國立臺灣師範大學","博士",1337
"國立臺灣師範大學","碩士",6656
"國立臺灣戲曲學院","四技",501
"國立臺灣海洋大學","學士",6662
"國立臺灣海洋大學","博士",327
"國立臺灣海洋大學","碩士",2225
"國立臺灣科技大學","四技",5545
"國立臺灣科技大學","二技",48
"國立臺灣科技大學","博士",1084
