"學年度","學校類別","學校代碼","學校名稱","博士","碩士","學士","二專","五專","上學年度畢業生人數_博士","上學年度畢業生人數_碩士","上學年度畢業生人數_學士","上學年度畢業生人數_二專","上學年度畢業生人數_五專"
112,"大專校院","0001","國立政治大學",5,49,154,0,0,1,11,27,0,0
112,"大專校院","0002","國立清華大學",12,67,78,0,0,1,15,13,0,0
112,"大專校院","0003","國立臺灣大學",12,43,270,0,0,2,14,56,0,0
112,"大專校院","0004","國立臺灣師範大學",19,70,196,0,0,0,6,46,0,0
112,"大專校院","0005","國立成功大學",8,35,170,0,0,1,12,21,0,0
112,"大專校院","0006","國立中興大學",3,7,154,0,0,1,3,22,0,0
112,"大專校院","0007","國立陽明交通大學",11,25,72,0,0,1,6,13,0,0
112,"大專校院","0008","國立中央大學",2,21,58,0,0,0,7,8,0,0
112,"大專校院","0009","國立中山大學",0,42,36,0,0,0,5,8,0,0
112,"大專校院","0012","國立臺灣海洋大學",4,13,110,0,0,0,0,13,0,0
112,"大專校院","0013","國立中正大學",4,29,99,0,0,0,9,15,0,0
112,"大專校院","0014","國立高雄師範大學",11,79,478,0,0,1,8,38,0,0
112,"大專校院","0015","國立彰化師範大學",1,31,149,0,0,0,3,15,0,0
112,"大專校院","0017","國立臺北大學",1,15,141,0,0,0,1,23,0,0
112,"大專校院","0018","國立嘉義大學",1,32,153,0,0,0,9,32,0,0
112,"大專校院","0019","國立高雄大學",0,6,100,0,0,0,0,28,0,0
112,"大專校院","0020","國立東華大學",31,222,609,0,0,2,24,121,0,0
112,"大專校院","0021","國立暨南國際大學",9,41,254,0,0,1,6,52,0,0
112,"大專校院","0022","國立臺灣科技大學",5,24,88,0,0,2,8,19,0,0
112,"大專校院","0023","國立雲林科技大學",2,14,99,0,0,0,3,16,0,0
112,"大專校院","0024","國立屏東科技大學",4,34,170,0,0,0,6,26,0,0
112,"大專校院","0025","國立臺北科技大學",2,16,89,0,5,0,7,12,0,1
112,"大專校院","0028","國立臺北藝術大學",3,20,54,0,0,0,7,6,0,0
112,"大專校院","0029","國立臺灣藝術大學",1,15,113,0,0,0,1,19,0,0
112,"大專校院","0030","國立臺東大學",6,159,554,0,0,0,27,89,0,0
112,"大專校院","0031","國立宜蘭大學",1,19,172,0,0,0,2,27,0,0
112,"大專校院","0032","國立聯合大學",0,3,112,0,0,0,1,12,0,0
112,"大專校院","0033","國立虎尾科技大學",0,3,133,0,2,0,1,15,0,0
112,"大專校院","0035","國立臺南藝術大學",2,10,42,0,0,0,1,2,0,0
112,"大專校院","0036","國立臺南大學",2,10,72,0,0,0,4,13,0,0
112,"大專校院","0037","國立臺北教育大學",4,46,114,0,0,0,7,25,0,0
112,"大專校院","0039","國立臺中教育大學",5,105,78,0,0,0,23,18,0,0
112,"大專校院","0042","國立澎湖科技大學",0,1,16,0,0,0,0,4,0,1
112,"大專校院","0043","國立勤益科技大學",0,0,105,5,0,0,4,19,1,0
112,"大專校院","0044","國立體育大學",2,29,427,0,0,0,2,40,0,0
112,"大專校院","0046","國立臺北護理健康大學",0,15,99,0,0,0,0,28,0,0
112,"大專校院","0047","國立高雄餐旅大學",0,0,81,0,10,0,0,27,0,0
112,"大專校院","0048","國立金門大學",0,2,65,0,0,0,0,12,0,0
112,"大專校院","0049","國立臺灣體育運動大學",2,28,212,0,0,0,3,33,0,0
112,"大專校院","0050","國立臺中科技大學",0,6,216,13,67,0,4,42,6,7
112,"大專校院","0051","國立臺北商業大學",0,0,95,5,23,0,1,20,3,3
112,"大專校院","0052","國立屏東大學",6,107,362,0,0,0,8,43,0,0
112,"大專校院","0053","國立高雄科技大學",0,3,191,0,15,0,1,39,0,1
112,"大專校院","0144","國立臺灣戲曲學院",0,0,10,0,0,0,0,2,0,0
112,"大專校院","0221","國立臺南護理專科學校",0,0,0,2,148,0,0,0,0,7
112,"大專校院","0222","國立臺東專科學校",0,0,0,48,43,0,0,0,10,7
112,"大專校院","1001","東海大學",1,11,118,0,0,0,1,13,0,0
112,"大專校院","1002","輔仁大學",3,107,351,0,0,0,14,63,0,0
112,"大專校院","1003","東吳大學",0,0,115,0,0,0,0,17,0,0
112,"大專校院","1004","中原大學",2,21,174,0,0,0,6,24,0,0
112,"大專校院","1005","淡江大學",0,2,226,0,0,0,0,39,0,0
112,"大專校院","1006","中國文化大學",0,9,309,0,0,0,2,43,0,0
112,"大專校院","1007","逢甲大學",0,14,130,0,0,0,3,15,0,0
112,"大專校院","1008","靜宜大學",8,69,183,0,0,0,10,26,0,0
112,"大專校院","1009","長庚大學",6,10,32,0,0,0,4,3,0,0
112,"大專校院","1010","元智大學",2,4,61,0,0,0,0,3,0,0
112,"大專校院","1011","中華大學",1,2,32,0,0,0,0,7,0,0
112,"大專校院","1012","大葉大學",3,26,36,0,0,0,2,4,0,0
112,"大專校院","1013","華梵大學",0,3,3,0,0,0,2,2,0,0
112,"大專校院","1014","義守大學",1,15,388,0,0,1,2,86,0,0
112,"大專校院","1015","世新大學",3,14,271,0,0,1,2,57,0,0
112,"大專校院","1016","銘傳大學",0,13,208,0,0,0,3,48,0,0
112,"大專校院","1017","實踐大學",0,3,194,0,0,0,0,42,0,0
112,"大專校院","1018","朝陽科技大學",1,7,154,0,0,2,2,32,0,0
112,"大專校院","1019","高雄醫學大學",0,13,92,0,0,0,2,17,0,0
112,"大專校院","1020","南華大學",0,15,72,0,0,0,5,10,0,0
112,"大專校院","1021","真理大學",0,0,47,0,0,0,1,17,0,0
112,"大專校院","1022","大同大學",1,1,16,0,0,0,0,5,0,0
112,"大專校院","1023","南臺科技大學",0,5,173,0,3,0,0,32,0,0
